slno,text
180, Beautiful gothic hotel Very good location Some nice bars and restaurants Fabulous Thai restaurant 5 minutes away 3 metro stops from Dam centre Really enjoyed staying there There was building work ongoing but you would never have know 
181, The whole experience was amazing there were construction works going on but the staff made sure it didn t impact your time there at all very friendly and very helpful
182, Room was lovely we got a free upgrade Bathroom fab Excellent breakfast Nice sitting out area for those who wished to smoke Reception and dining bar staff exceptionally nice 
183, Quiet location and thankfully the construction to the exterior of the hotel did not impact our stay 
184, Very comfortable bed and cool hotel
185, Hotel was very clean and staff helpful Very trendy and reasonably priced
186, The bed was huge and comfortable Massively high ceilings and the feature staircase 
187, Staff were very friendly helpful The kitchen provided us a great meal the bar staff were nice and the breakfast bar was very impressive 
188, The style of the room was unique and amazing with a light room laminate floors and a stunning black bathroom Our kingsize was very comfy and spacious The hotel itself is very beautiful and they have kept the original staircases and high ceilings All of the staff spoke English perfectly just like most people in the city and I couldn t fault them on anything they were always willing to answer our questions and even gave us a map and told us where we could find some interesting places Hotel Arena s location is pretty perfect as it is less than a 10 minute walk from a tram stop to Centraal Dam Square Rembrandtplein and any other places you might be interested in exploring It s also right next to Oosterpark so I can imagine how nice it would be to go to in the spring and upcoming summer Really loved this place overall and a great hotel to stay at especially if it is your first time in Amsterdam as it was mine 
189, Location was great for us as was close to my sister there was always someone on the desk the bars were lovely the building was impressive but building work going on which we didn t know about but I m sure it will look amazing Really funky room 
190, The bed was super cosy The staff was nice The hotel isn t central but if you get bikes it s very close and easy to cycle 
191, Staff were fantastic and changed our overall view of the hotel Got off to a bad start room 240 was tiny and they changed us No argument Bar staff and reception staff really friendly and pleasant 
192, Cool hotel great receptionist who gave us ideas of what to do in Amsterdam delicious supper at the hotel And great shower 
193, Bar and restraint staff were great reception was a bit lacklustre Also th bathroom walls are completely see through Wouldn t advise number 2 s if you are sharing a room 
194, The staff was very nice and friendly the size of the room was really great and the style of the hotel is also very nice The bed was quite confortable 
195, Average good accommodation Big room Helpful staff Room cleaned daily Big hot shower Comfy bed 
196, The only good thing about this hotel is the friendly staff and the way it looks Considering they have work going on Location is great 5mins walk to tram stop n your in damn square in 10mins Also we bought 3 day travel ticket from the train station for 25 euros n the hotel sell this for 17 50 euros so buy from hotel it s cheaper Trains are not included in the hotel travel card but u won t need trains if your staying in dam Only to and from airport 
197, The place looked amazing and it was close enough to everything that walking was not a hassle
198, Bed was nice 
199, Really nice building but lots of building work going off But only outside so not a problem Good size rooms fairly modern Good location away from the center but easy to get to by tram WiFi worked perfectly and quickly 
200, Loved the decor in the hotel and the staff where very helpful and friendly
201, 24 reception Changed rooms immediately after complaint
202, The staff were very friendly and helpful Rooms s good size Nice bathrooms Bar area very comfortable Complimentary drink a nice touch A little walk from centre but gave us a chance to look around Plans for development look amazing Would like come back when completed 
203, Cool hotel nice feel really comfy beds staff couldn t do enough for you
204, The room was exactly as expected The bed was the most comfortable bed that we have ever slept on the shower was HUGE Easy check in and check out only a 5 minute walk to the grocery store staff were very friendly and public transport is only minutes walk from the hotel room or if you like walking everything you need to see is only a 30 45min walk 
205, Great hotel and quiet university area Wonderful comfy beds in clean well equipped rooms The food is wonderful 
206, The bed and size space in room was amazing very comfortable stay Very happy with our room for the money that we paid 
207, The staff were exceptionally friendly and attentive The room itself was amazing and the bed itself was so comfy we struggled getting up of a morning I would recommend this hotel to anyone 
208, Our room was very uniquely arranged with an impressive double headed shower and massive windows Very memorable The hotel is right next to a large nice park Staff was friendly 
209, The rooms were gorgeous bathroom to die for we upgraded to a suite with bath the hotel interior very nice lovely atmosphere Due to building work In progress we were given a voucher for a free drink at the bar nice gesture 
210, The decor the atmosphere the welcoming staff the room was incredible
211, The hotel is amazing Beautiful interior We weren t disrupted by the work going on as the place is sound proof Our room was fantastic the only thing I should have done was ask for a fan at reception because the room temperature was too hot and the air con wouldn t go below 21oc The room layout with the bedroom upstairs was lush 
212, Room service good quality staff
213, We loved the setup of our room we liked the separation of the bed from the rest of the room the meals were fantastic too very filling 
214, Hotel was very modern and location was great Complimentary drinks was a really nice touch 
215, Stayed in this hotel for 4 nights with my boyfriend The hotel was perfect A short distance to the square with the tram located near the hotel Perfect loctation lovely park beside the hotel with cafes nearby Staff were very helpful and the hotel in general is fabulous very modern and the bedroom was just great the layout was fantastic with cute steps up to the bed which was super comfy We really enjoyed our stay 
216, Staff were helpful and friendly from start to finish 
217, absolutely stunning hotel lovely food and selection of drinks and a really good location
218, The bedrooms were pleasnt the bed was really comfy It was nice the shower was clean I enjoyed my room Wasn t allowed to check in till 3 but managed to get us a room by 2ish which was good 
219, The room was pleasant We liked the big bathroom and the bed was large and extremely comfortable The mini fridge safe tv s with English channels and the ability to make drink were pluses
220, Nice comfy and cosy rooms with very big windows so there is plenty of light A lot of trams in the vicinity so it is easy to the city centre or any attraction 
221, The room is beautiful and comfortable the shower is one of the best I ve ever seen The staff is very kind I would very much recommend this hotel if you don t mind travel 20 min to the center 
222, The room we upgraded to was very nice 
223, Location was close enough to anything we needed hotel was big clean spacious rooms and nice bar with friendly staff at a very good price would happily stay again
224, Polite staff 
225, The staff we encountered were absolutely delightful and very helpful The rooms were clean stylish and comfortable The hotel was conveniently located within walking distance of the centre of Amsterdam 
226, Staff was vey pleasant The place is very well designed
227, Location is good it takes 20 mins by feet and 10 15 mins by tram to get to the city center 
228, The room was stunning Did not expect the quality standard received after having to walk past a building site and enter through a dodgy back door Will definitely recommend 
229, Very smart room good food 
230, Breakfast Staff
231, staff helpful but maybe because of building upheaval hotel history and architecture a real treat would stay again try another room and see the hotel when fully refurbished possibly have a discount due to the visit being in middle of a bulding site and not as expected when booked 
232, The hall
233, Nice staff good rooms with separate little living room and bedroom did not experience any problems with the reconstruction 
234, Staff were really friendly 24hour front desk beautiful hotel the room I stayed in double deluxe was amazing lots of restaurants nearby for good food And easy trams into central 10 mins I highly recommend 
235, Very beautiful building cozy room cool bar 
236, Staff were very friendly on arrival we were upgraded on arrival fantastic room with lovely no fern decor there was works going on outside the hotel but we never heard a thing and it didn t make a difference would definable return to the hotel arena
237, Close to Tram Excellent room nice staff 
238, Good Wi fi 
239, Good location next to the tram but is under going a major revamp No noise problem but the lovely garden is gone Sill good value for money This is a big place lovely old building 
240, The best thing at this price excellent price in relation to the modern and spacious room received 
241, Character of the hotel was great Location was good
242, Hotel and rooms were beautiful My friend and I wanted some luxury on our trip to Amsterdam and this hotel provided just that The staff were extremely friendly and gave us lots of advice on where to go local life etc You will need to get trams metro from this hotel which all added to the experience of our trip Would definitely recommend this hotel 
243, The staff were extremely polite and helpful i honestly couldn t fault them The room itself was clean and comfortable and the location was great 
244, friendly staff place is very clean and charming beautiful restaurant and bar food looked I didn t try it way better than the usual Amsterdam culinary sins
245, This was our first time in Amsterdam and the staff were incredibly helpful They took special notice of the fact that is was my birthday and were so friendly 
246, Great location lovely room
247, Very nice property stylish hotel friendly staff spacious rooms except the one with stairs and close to the city center just a couple of stops by tram 
248, Boutique atmosphere good size rooms with comfortable beds and stylishly designed bathrooms 
249, It was a well kept hotel in a lovely area The staff and services offered were excellent We felt it was a great value Our beautiful room with a view was a bonus 
250, The hotel is beautiful the pictures here arent doing it justice at all right on Oosterpark which is awesome The location is great walking distance to the tram public transport to anywhere and 5 10 mins to POI convenience shops and small local bars on the quieter part of the city You can also get to the city center by walking but it will take about 20 30mins Very clean room made and towels changed everyday Almost perfect 
251, Crews being nice and helpful Environment quiet and peaceful but unfortunately certain areas under construction 
252, The bathroom and sofa are so good The building style is really awesome 
253, We liked the location and the extra pleasant staff They were very accommodating to our requests e g extra towels and specialty pillows 
254, I loved the hotel design and decoration Staff were extremely nice always helpful and smiling That is something you really appreciate when you are on a 24 hour business trip Breakfast was way better than I expected although coffee was quite bad That is something most hotels fail to nail and I think most guests find it important Rooms are fantastically cozy clean and comfortable 
255, The bed was comfy and large The wifi was fast and good Separate living area Powerful shower
256, Got in late and hadn t eaten 24 hour pizza delivery offered at front desk brilliant at 12pm friendly staff and wifi in room hotel is 15 mins walk from dam square nice to be away from the hussle and bussle in town 
257, We stayed at the hotel for 5 nights Hotel is a bit far from the center but with the tram and metro you arrive at the center in minutes Hotel is situated in a quite area The rooms are very spacious comfortable and cosy The staff is very nice and helpful
258, Really enjoyed our stay at hotel arena staff were fab made us feel really welcome even made us a coffee at 6am whilst waiting fir our taxi to the airport
259, The matress and pillows were exceptionally good Best sleep in terms of comfort ever I would be grateful to know your suppliers as would like to replicate this comfort in my own home 
260, Although the hotel is a little from the main centre the hotel itself was outstanding The hotel is currently under construction and expanding its capacity and restaurant bar space I was shocked when we arrived to see a construction site but you couldn t hear any building work from the room and the hotel was impeccable inside Fantastic value for money but I assume once the construction has been completed the hotel will be one of the top places to stay in Amsterdam The bar and restaurant is an added bonus to the hotel and the staff were pleasant and polite The hotel is spectacular and the rooms are modern and very comfortable the previous reviews regarding the bathroom walls are true but we didn t find that an issue I would certainly recommend this hotel to anyone especially for the location as many trams lead to the centre of Amsterdam in only 7 10 minutes 
261, Great bed bathroom beer garden decor staff and food 
262, This is a fantastic place to stay and felt like true luxury despite the amazingly cheap price that we paid for our stay There is work going on at the moment but we were given free drinks which were delicious and would both love to return to see the hotel when all the work is finished as it is such a fantastic place to stay that is steeped with history Also the shower was incredible 
263, We loved our stay at hotel arena The hotel was great Staff was really kind especially for Job the guy encharged of the restaurant and Sander the guy who recieved us in the front desk Talking to them it came up in the conversation that my boyfriend and I got engaged the day before arriving to the hotel That night when we got to our room there was a great bottle of champagne and a beautiful congratulations card waiting for us un our room It was a very classy detail We were so thankful about it Also beds and pillows were great the breakfast boufett awesome and i woukd also recommend to have at least one dinner at the hotels restaurant Food is great Thank u for everything hotel arenaaa 
264, Everything The friendly staff super comfortable bed we did not want to get out of bed in the morning it was so comfortable the artsy decor of the hotel chic bar It was truly pleasant to stay in Hotel Arena
265, Amazing rooms with beautiful view of river Food was delicious particularly the veal croqettes and the salmon Staff are helpful and friendly 
266, staff good location suited us
267, Great historic buildig
268, The hotel was great The rooms were gorgeous and the staff really friendly Our room was beautifully decorated very modern sleek design with a mezzanine and spotlessly clean Drinks in the bar were good and not overly expensive The hotel was perfectly located in a lovely part of town within easy reach of town using ansterdams great public transport or the hotels rental bikes 
269, How different it was from other hotels the staff the bar area and the location was good for tram access
270, This is an older building with a wonderful refurbishment Our bedroom and bathroom were state of the art and perfect The dining experience was also excellent We had a problem with one meal but it was fixed immediately Will go back 
271, Was convenient because our friends live close by Furhthermore I liked the possibility of renting a bike on short notice And the interior was spectacular liked the modern twist 
272, The terrace lounge The building The location 
273, The staff were very friendly and very helpful 
274, Very comfortable big bed Free wi fi Lovely building and interior
275, A great place that is stylishly decorated The beds are really comfortable and the shower is fantastic The room we had also featured a lovely little loft with two chairs a desk and a TV the extra space made the place a lot nicer than your standard hotel room 
276, I loved the room There was so much space spanning two floors The staff were super friendly and gave us great advice on locations to visit during our stay in Amsterdam 
277, Friendly staff nice rooms comfy bed though pillows aren t as comfy as they look There are two trams that leave from close to the hotel and one goes directly to Central and both go to the main tourist hub Oosterpark right on your door step
278, location outside terras
279, Great restaurant bar very green area you dine literally in the park great place for morning run
280, Nice property and building 
281, Outside areas staff deco and art
282, Bed was very comfy Close to tram stops
283, Breakfast was very good but it wasn t included in the price of the room Right by the Ostpark which is very pleasant
284, Super stylish hotel next to a lovely park Close enough to the city centre but far enough if you get me 
285, Breakfast is amazing Very kind staff
286, Decor service fresh herb garden 
287, Bed was really comfy easy to access tourism areas using public transport but quiet area 
288, Standard room is amazing location is adorable Everything was stunning from A to Z from indoors design to really good noise isolation 
289, Impressive venue
290, Beautiful hotel Nice room and excelelnt facilities for breakbast and dining 
291, Beautiful location next to park
292, Excellent Breakfasts
293, Outside of the hotel was beutiful and the surrounding areas
294, Staff were very friendly Hotel decoration impressive 
295, Good service Great restaurant Great surroundings 
296, Room was spacious enough Bed was very comfortable Park was amazing
297, The bed was very comfortable and the room was very clean
298, Room was awesome
299, nothing
300, Bed was really comfortable 
301, Amazing view to the park not so busy area Nice rooms
302, fantastic building and interior design Added bonus of park setting 
303, Location was superb overlooking oosterpark nice and quiet away from the city centre tram stops very close by and metro not far away 
304, location rooms staff
305, Room was as shown on the pictures cozy posh and really stylish Staff was trully polite and helpful 
306, Excellent room and interesting hotel Great location out of the centre but easy to get to on tram 
307, Stunning rooms and dining area In a lovely location just off a park 
308, The staff were really helpful and the hotel was in a great location 
309, The only thing I love was that the bed was comfy and the building on the outside everything else I hated
310, Comfy bed tasty hot chocolates
311, Beautiful hotel with views of the park Transport links are very close and excellent
312, Me and my boyfriend got engaged at the hotel and the staff were absolutely fantastic 
313, They gave us an upgrade of the room Beautifull sort of attic room complete white very very nice 
314, Loved the lay out and design of the hotel 
315, Great location lovely helpful staff very pretty and modern hotel 
316, Bed extra comfy
317, Large clean rooms with a nice size comfy bed All round just very clean 
318, comfort and cleanliness
319, The bedrooms were amazing and the beds were so comfy
320, Great hotel with beautiful interior
321, Well equipped nice room Traditinal but modern building 
322, Very clean and tidy hotel Very Comfortable bed everything was great
323, Room service thumbs down 
324, The room layout was not smart 
325, Main room floor wasn t cleaned
326, Insonorisation was not the best Could hear rowdy neighbors at night 
327, Cleaning small rooms Too expensive
328, The mattress was awful 
329, Transparentes WC Bad
330, slightly out of the city walkable and had an easy tram ride 
331, Long walk from the city center
332, A little far from centre breakfast is quite expensive
333, The shower didnt have a door so the floor got wet
334, The hotel was situated a little too far out of town 
335, One gruff check in member
336, It s a all round good hotel
337, Expensive to get to from the train station airport
338, Doors to the bathroom
339, Really nothing negative to say about this hotel
340, No coffee or tea in the room or lobby No one to help with our bags from Tax into the Hotel No handicapped access At 80 years old it was very difficult for me to lug two large suit cases up the 12 oursidestairs and then up into the lobby 
341, Room was pretty small for the three of us 
342, Only cab service to airport is expensive compared to others 48 pounds plus tip 
343, London hotel rooms are very small There was very little storage Would have liked to have some drawers however small for storage 
344, The room for three people was on the small side 
345, Room wasn t ready on arrival after travelling from Leeds to London and phoning 2hours away to reserve parking Rude receptionist to girlfriend about parking as it wasn t our fault someone had taken our space We arrived at 16 00 and our room wasn t ready so was given a complimentary drink each and half an hour later still wasn t ready and being told it would be a further 40minutes Just wasn t good enough as we were only staying for 1 night and had a concert to go to 
346, Our room allocated wasn t up to our expectations bathroom was to small when you opened bathroom door you banged into the toilet We had to require a different room at an extra cost of 30 a night 
347, The cooked elements of breakfast could have been better but the continental selection was very good 
348, The room was a lot smaller than advertised I requested a room on the top floor was originally put on the 2nd floor They changed me to a room on the top floor only to find out at 1am that the room had previous electrical issues that they knew about which hadn t been resolved and caused a loud knocking noise Once reported to the front desk I was asked to move rooms at 1am No assistance was offered Second room was slightly larger than the first but not by much I thought the breakfast was a good quality but pretty overpriced Beds were rather stiff but not entirely uncomfortable I didn t find the staff very friendly They weren t mean they just didn t seem very keen on being pleasant bad day maybe The gym is not worth calling a gym Has some meager cardio equipment no real ventilation no tv 
349, Lower ground floor room L01 possibly the smallest bathroom I ve ever stayed in awful View from Windows not inspiring to see the rat traps outside Won t go back 
350, Dimensions of the room small But I m was a single room and Erls court London The space cost money as a traditional London hotel
351, Squeaky floors Difficult to go to the bathroom at night without waking my husband Also 4th floor our window didn t open to the outside 
352, Not once during our four day stay including when we arrived to check in did any staff member speak to us before being spoken to first We were the only guests in the reception area when we checked in Not one single welcome good morning or hello in four days And we were not disgruntled or asking for any special requirements It was a very nice property but that indifferent attitude was a striking difference from every other small hotel and B B in which we stayed on this three week UK vacation We would not recommend K K Hotel George nor would we return ourselves 
353, The hotel only support to call their contracted taxi which is expensive and unsafe when we paid by credit card they have no cashier mashine in the car instead they called the back office we had to tell them our credit card no expire month and the security no through the mobile phone this is very riskful for us The hotel should improve their taxi service raise the safety requirement to their contracted taxi company 
354, The front desk staff was not very informed regarding city happenings or tips Fortunately I could rely on the internet to answer more specific questions Additionally I was not entirely confident that they understood the questions I was asking in English 
355, Staff not very friendly Did their job but seldom smiled or made one feel welcomed 
356, Room size too small and it was too hot Our window was too small and It good lighting We stayed on the 4th floor and I believ that room should not be used but perhaps converted to a larger room or storage since the lighting was poor from this awkward size window Breakfast was ok but they started taking things away and cleaning while we were still there 
357, The room was a little stuffy They didn t have AC on yet Probably too early in the season Shower sometimes went hot and then cold 
358, The shower temperature was changing all the time from freezing to boiling and back 
359, choice of food in bar wasn t too good but there are lots of great places to eat nearby so there was no problem 
360, The fact the windows don t open and the room was hot and stuffy and the bed was hard it was necessary to switch heating off put aircon on maximum and then of course it was noisy and even so there was no fresh air which is essential
361, The rooms are very small we had trouble fitting 2 suitcases in The price is fairly high even by London s standards and breakfast was extra 
362, The room is a little small and the decor is dated 
363, Air con seemed to be set on winter warmer but easily resolved switched it off and opened window simples 
364, We needed gluten free breakfast and ordered it beforehand but the serving was not safe The toasts were but nothing else not The table was set up in the way that cross contamination was difficult to avoid Also bacon eggs and potato cakes were cooked in the same oven and served together Potato cakes had gluten including flours They seemed to have no idea what exactly it all means to serve safe gluten free food 
365, breakfast the same everyday not much options but good and clean fitness center has one machine and they call fitness center small rooms 
366, Breakfast was crowded at times and the selection of food was ok but not great 
367, Rooms could be updated that being said everything is functional and very clean 
368, Bed was too soft bathroom a wee bit small for manoeuvring in 
369, The wifi is only 500kb s which isn t fast by today s standards The power socket near the bed was loosen I can t charge my phone 
370, We were put in a basement room which certainly wouldn t have classed as a 4 star room How ever it was clean and bed was comfortable 
371, Wifi is ridiculously slow and fiddly to connect using Chrome Breakfast coffee was only average
372, We choose to personally take our laundry to be cleaned as it was 1 10 th of the cost of what the hotel was going to charge this was very excessive The room was very warm but we managed by keeping the windows and drapes open 
373, Not convinced that solo travellers are treated with the same consideration as others for room location in the hotel in particular
374, Top floor rooms were so small had to leave one suitcase in the car as unable to fit it in Rooms very hot and had to have windows open in sub zero temperatures Shower over bath tub was dangerously erratic with cold water rapidly displaced by scalding water and no non slip mat or stickers in bath Lethal combination for the elderly or children Second room key not allowed by the hotel s security so had to call reception to let us in if separated Front desk staff very dismissive 
375, The breakfast staff were not helpful When we went for breakfast the restaurant was busy and we were asked to wait about 5 minutes to be seated They forgot about us and we had to approach them about our table After 25 minutes we were finally seated I was so upset I did not have a breakfast and left the restaurant in disgust at our treatment We won t be back
376, couldn t work out how to crank DOWN the heating in the room Bathroom is miniscule Mini bar was very limited with its choice
377,No Negative
378, Breakfast is expensive especially when I have already paid over 90 for a standard room per night 
379, mistake over payments and noise due to creaky floorbords Also It would ve been nice if we were told beforehand that a 60 euros deposit would be required regarding potential mini bar consumptions When we refused to comply the person in charge told us curtly that our mini bar shall be emptied fothwith 
380, The only thing I can think of is that i would have preferred not to have a wall to wall carpet in the room but it seemed clean so it was no big deal 
381, I had to ask at breakfast all 3 mornings we were there for coffee and re fills I think it would be better to have coffee on the buffet as you could just help yourself like you could with tea
382, My one complaint is the overly soft mattresses It was not good for my back 
383, The mattress wasn t comfortable and the pillows were way too soft I had a neck ache the next morning The room was super tiny We stayed at the Hilton Bankside and the room was so spacious in comparison 
384, Temperature in the room was difficult to regulate 
385, I don t know if it was because I booked through Booking com but seemed to get the worst room in the place Underground with no view Unable to book breakfast for second day at the reduced price as I should have done it on check in I didn t know what I was going to be doing on check in Tea and biscuits not replenished the second day 
386, Really nothing this was a perfect choice 
387, Rooms are not heated may be an issue in very cold winters Gym is open from 4 00 pm to 10 00pm when you usually are out 
388, Soiled chair in room Pillows not clean Shower temp control very sensitive in 1st room we stayed in Value for money
389, We asked for 2 singles and a sofa bed but were given a double bed and no explanation There were few accessible plugs for hair straighteners and the like and the hair dryer didn t work To be fair we didn t take this up with the hotel so they may have sorted this if asked to do so 
390, No Iron and ironing board and maybe a few sachets of hot chocolate in the room nothing really to complain about 
391, Did book a twin bedded room and got a very large double so it didn t matter too much Loo very low lucky I am only 5ft 2 
392, Staff not particularly helpful Have stayrf before and not had room serviced so had to request this 3 times Breakfasy ok but not outstanding for a 4 Rooms small esp bathroom and not particularly warm
393, Housekeeping missed my room one day and although I did not make much of a fuss over it I did not get a convincing explanation I did get an apology though 
394, room wasn t ready was upgraded but had to pay for a drink while we waited
395, bathroom is really small
396, Staff could ve been a bit more clued up failed to check my booking room assigned was not what I asked for I requested a double and on entering the room was given a twin So was offered a double in the lower ground it didn t smell very pleasant in the room and the mattresses need to be changed I was advised I had been upgraded This was probably due to the error made on check in however even though the room may have been bigger there were no extras in the room and the TV was much smaller Clearly not an upgrade I don t know I guess for 135 I was expecting a lot more for a 1 night stay On checking in I was asked to pay for breakfast as its more expensive on the day yet it was already part of the rate I didn t have the best start to staying here unfortunately And not even a helping hand with my bag considering the error of assigning me the wrong room laid with the hotel breakfast could ve been more fresh and hotter Appreciate I had arrived 25mins before it closed yet it was still in the valid timeset 
397, Weird atmosphere in reception many eastern European staff Room Cold and uninspiring 4 per drink of cheap orange juice mixed with tap water Overpriced overall
398, Front desk night manager charged my bill in dollars without permission He tried to net an extra 40 on my bill with the horrible exchange rate When I caught it he told me I must have authorized it at check in which I had not Completely unacceptable 
399, The towel in the bathroom had blood on it and it wasn t our blood so disgusting Also we had a room below the pavement at the front of the hotel with a lot of noise from foot traffic and their conversations 
400, The gym facility is pointless make sure you go elsewhere if you want to use the gym 
